Time (UTC+10),30-min Price Historical QLD ($/MWh),30-min Price Forecast QLD ($/MWh),Rooftop Solar Historical QLD,Rooftop Solar Forecast QLD,Large Solar Historical QLD,Large Solar Forecast QLD,Wind Historical QLD,Wind Forecast QLD,Other Grid Historical QLD,Other Grid Forecast QLD
9/02/2021 20:30,37.49,,0,,-0.073,,281.520005,,7315.153975,
9/02/2021 21:00,35.6,,0,,-0.073,,284.034208,,7116.497264,
9/02/2021 21:30,37.06,,0,,-0.073,,288.523335,,6928.686855,
9/02/2021 22:00,34.35,,0,,-0.073,,291.339996,,6806.772218,
9/02/2021 22:30,37.44,,0,,-0.073,,296.969996,,6591.677248,
9/02/2021 23:00,36.21,,0,,-0.073,,297.451666,,6372.660278,
9/02/2021 23:30,34.67,,0,,-0.1235,,293.381668,,6339.607372,
10/02/2021 0:00,32.89,,0,,-0.174,,295.406661,,6326.09081,
10/02/2021 0:30,37.21,,0,,-0.174,,293.648331,,5927.395533,
10/02/2021 1:00,36.58,,0,,-0.174,,291.74878,,5618.457448,
10/02/2021 1:30,28.71,,0,,-0.174,,293.303485,,5642.117597,
10/02/2021 2:00,30.99,,0,,-0.174,,279.490516,,5692.888112,
10/02/2021 2:30,29.19,,0,,-0.174,,263.660025,,5639.452063,
10/02/2021 3:00,27.85,,0,,-0.174,,247.663335,,5689.011534,
10/02/2021 3:30,31.18,,0,,-0.174,,229.914776,,5734.590846,
10/02/2021 4:00,31.74,,0,,-0.174,,219.454305,,5671.399321,
10/02/2021 4:30,33.66,,0,,-0.174,,226.684648,,5529.324248,
10/02/2021 5:00,36.28,,0,,-0.174,,230.942755,,5485.539421,
10/02/2021 5:30,37.97,,0.157,,-0.174,,232.573463,,5545.491069,
10/02/2021 6:00,39.4,,33.44,,4.168585,,216.501393,,5689.048717,
10/02/2021 6:30,38.98,,167.125,,69.547055,,205.351576,,6031.494795,
10/02/2021 7:00,35.2,,390.301,,278.345426,,240.710195,,6177.515034,
10/02/2021 7:30,29.59,,702.062,,514.569945,,252.095255,,6260.225718,
10/02/2021 8:00,29.16,,988.083,,711.765193,,225.621136,,6236.314253,
10/02/2021 8:30,29.23,,1266.652,,742.674436,,187.49513,,6097.644212,
10/02/2021 9:00,31.35,,1450.899,,762.431095,,119.808823,,5895.584167,
10/02/2021 9:30,33.62,,1613.949,,851.62521,,74.071235,,5586.762199,
10/02/2021 10:00,35.35,,1640.695,,923.503226,,58.743333,,5436.582577,
10/02/2021 10:30,36.3,,1567.079,,960.90849,,62.634575,,5390.148755,
10/02/2021 11:00,38.36,,1456.646,,876.826296,,42.592258,,5434.994098,
10/02/2021 11:30,38.39,,1403.71,,849.14241,,43.779068,,5435.757237,
10/02/2021 12:00,37.02,,,,815.826701,,39.99456,,5585.714694,
10/02/2021 12:30,,36.73929,,1541.506,829.676736,852.37,28.243724,31.112,5637.682038,5640.28939
10/02/2021 13:00,,36.41144,,1630.811,,920.121,,28.759,,5628.21439
10/02/2021 13:30,,35.75369,,1679.518,,950.272,,31.664,,5626.70433
10/02/2021 14:00,,36.20518,,1666.605,,933.477,,37.937,,5627.72234
10/02/2021 14:30,,38.95,,1583.785,,913.411,,46.015,,5764.789
10/02/2021 15:00,,38.32088,,1499.794,,890.161,,55.66,,5955.30038
10/02/2021 15:30,,34.73262,,1322.18,,852.809,,66.61,,6221.66163
10/02/2021 16:00,,35.32384,,1105.936,,796.295,,76.425,,6346.11433
10/02/2021 16:30,,35.39051,,866.435,,721.608,,88.365,,6570.35884
10/02/2021 17:00,,37.21296,,615.492,,601.792,,102.985,,6658.90828
10/02/2021 17:30,,38.69847,,373.92,,446.965,,120.796,,6771.06312
10/02/2021 18:00,,40.73009,,161.668,,267.913,,149.253,,7021.18634
10/02/2021 18:30,,40.73009,,20.062,,92.807,,193.023,,7189.35625
10/02/2021 19:00,,42.95447,,0,,4.781,,222.038,,7279.73805
10/02/2021 19:30,,42.62051,,0,,0,,236.174,,7286.51489
10/02/2021 20:00,,38.9,,0,,0,,250.323,,7147.147
10/02/2021 20:30,,38.07078,,0,,0,,262.377,,7049.50864
10/02/2021 21:00,,37.69476,,0,,0,,277.022,,6882.51055
10/02/2021 21:30,,35.74361,,0,,0,,288.916,,6884.5076
10/02/2021 22:00,,33.94636,,0,,0,,303.884,,6887.50703
10/02/2021 22:30,,34.14385,,0,,0,,302.502,,6692.51115
10/02/2021 23:00,,34.08538,,0,,0,,300.332,,6549.50686
10/02/2021 23:30,,34.46529,,0,,0,,296.634,,6294.51395
11/02/2021 0:00,,33.20757,,0,,0,,290.632,,6294.51108
11/02/2021 0:30,,35.45154,,0,,0,,284.085,,5759.51364
11/02/2021 1:00,,35.38291,,0,,0,,278.657,,5639.50937
11/02/2021 1:30,,31.95387,,0,,0,,267.075,,5639.51143
11/02/2021 2:00,,31.3874,,0,,0,,253.522,,5639.51443
11/02/2021 2:30,,28.66993,,0,,0,,238.158,,5639.5113
11/02/2021 3:00,,28.63875,,0,,0,,222.468,,5639.51059
11/02/2021 3:30,,27.98997,,0,,0,,200.658,,5616.05774
11/02/2021 4:00,,31.35255,,0,,0,,168.513,,5639.51343
